current_time,temp,humidity,main
2026-03-05 05:37:59,10.5,22,Clouds
2026-03-05 06:06:24,11.76,40,Haze
2026-03-05 07:06:20,10.48,36,Clouds
2026-03-05 07:50:28,10.76,46,Haze
2026-03-05 08:23:45,8.87,57,Clouds
2026-03-05 09:03:37,7.36,73,Clouds
2026-03-05 09:56:44,6.76,76,Rain
2026-03-05 10:31:53,5.74,86,Rain
2026-03-05 11:07:56,3.76,93,Rain
2026-03-05 11:46:16,3.76,93,Rain
2026-03-05 12:02:55,3.74,92,Rain
2026-03-05 13:19:59,4.78,87,Rain
2026-03-05 14:09:01,1.89,99,Rain
2026-03-05 15:01:17,0.76,100,Snow
2026-03-05 15:55:07,0.76,100,Snow
2026-03-05 17:51:40,2.22,86,Clouds
2026-03-05 19:02:58,0.76,100,Mist
2026-03-05 19:56:54,-0.24,100,Mist
2026-03-05 20:30:44,-0.24,100,Mist
2026-03-05 21:02:31,-0.24,100,Mist
2026-03-05 21:44:39,0.76,100,Mist
2026-03-05 22:02:29,2.19,79,Clouds
2026-03-05 23:10:57,2,78,Clouds
2026-03-05 23:57:29,2.53,71,Clouds
2026-03-06 01:43:37,2.76,87,Clouds
2026-03-06 03:55:24,3.76,75,Clouds
2026-03-06 05:04:19,3.76,75,Haze
2026-03-06 05:54:49,3.5,56,Clouds
2026-03-06 06:31:57,2.76,75,Haze
2026-03-06 07:24:14,2.76,70,Clouds
2026-03-06 07:54:51,4.12,44,Clouds
2026-03-06 08:22:36,2.76,70,Clouds
2026-03-06 08:58:14,2.76,70,Haze
2026-03-06 09:34:38,2.76,65,Haze
2026-03-06 10:04:09,2.15,46,Clouds
2026-03-06 10:49:28,1.23,45,Clouds
2026-03-06 11:16:57,1.76,64,Clouds
2026-03-06 11:45:07,0.88,43,Clouds
2026-03-06 11:59:32,1.76,64,Clouds
2026-03-06 12:56:46,0.29,41,Clear
2026-03-06 13:49:12,0.16,40,Clear
2026-03-06 14:25:37,-0.24,64,Clouds
2026-03-06 15:01:40,-0.24,64,Clouds
2026-03-06 15:43:52,-1.24,69,Clear
2026-03-06 16:06:17,-1.24,69,Clear
2026-03-06 16:56:13,-0.93,35,Clear
2026-03-06 17:27:56,-0.93,35,Clear
2026-03-06 17:58:46,-1.32,34,Clear
2026-03-06 18:41:52,-3.24,80,Clear
2026-03-06 19:22:26,-3.24,80,Clear
2026-03-06 19:50:56,-1.4,34,Clear
2026-03-06 20:16:16,-1.4,34,Clear
2026-03-06 20:48:55,-1.48,34,Clear
2026-03-06 21:14:42,-3.24,68,Clear
2026-03-06 21:44:11,-1.45,33,Clear
2026-03-06 21:58:12,-3.24,68,Clear
2026-03-06 22:24:48,-3.24,68,Clear
2026-03-06 22:51:27,-3.24,68,Clear
2026-03-06 23:14:49,-1.36,32,Clear
2026-03-06 23:41:59,-1.24,59,Clear
